49ers,AwayScore,Bears,Bengals,Bills,Broncos,Browns,Bucaneers,Buccaneers,Cardinals,Chargers,Chiefs,Colts,Cowboys,Dolphins,Eagles,Falcons,Giants,HomeScore,Jaguars,Jets,Lions,Name,Packers,Panthers,Patriots,Raiders,Rams,Ravens,Redskins,Saints,Seahawks,Steelers,Texans,Titans,Vikings
1,3,0,1,1,1,1,0,0.0,0,0,0,0,0,0,1,1,0,21,1,1,0,Ty,1,1,1,1,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,ben,0,0,0,1,0,0,0,0,0,0,0,0,0
